sequence_number,length
2,37
3,44
4,49
5,93
6,107
7,106
8,101
9,104
10,105
11,102
12,101
13,112
14,109
15,112
16,113
17,107
18,101
19,95
20,98
21,96
22,104
23,106
24,104
25,106
26,115
27,110
28,113
29,106
30,87
31,96
32,99
33,100
34,104
35,101
36,113
37,108
38,99
39,107
40,106
41,100
42,104
43,94
44,101
45,102
46,98
47,94
48,94
49,92
50,91
51,93
52,101
53,88
54,93
55,102
56,102
57,97
58,98
59,100
60,109
61,109
62,101
63,108
64,92
65,98
66,96
67,85
68,80
69,84
70,94
71,108
72,106
73,95
74,104
75,105
76,108
77,99
78,99
79,102
80,107
81,104
82,106
83,108
84,104
85,99
86,105
87,105
88,107
89,104
90,96
91,100
92,100
93,100
96,108
97,108
98,104
99,105
100,103
101,103
102,102
103,95
104,90
105,78
106,93
107,106
108,85
109,93
110,89
111,96
112,99
113,106
114,111
115,96
116,106
117,103
118,103
119,91
120,92
121,84
122,75
123,80
124,93
125,93
126,104
127,101
128,78
129,98
130,101
131,97
132,98
133,83
134,98
135,98
136,83
137,86
138,83
139,77
140,96
141,102
142,104
143,99
144,98
145,104
146,100
147,103
148,108
149,102
150,107
151,113
152,110
153,102
154,107
155,102
156,90
157,99
158,102
159,112
160,105
161,107
162,107
163,92
164,95
165,97
166,99
167,105
168,118
169,110
170,107
171,95
172,95
173,106
174,97
175,91
176,103
177,114
178,109
179,99
180,96
181,101
182,101
183,103
184,101
185,102
186,106
187,110
188,105
189,99
190,113
191,111
192,106
193,97
194,92
195,90
196,93
197,83
198,99
199,95
200,91
201,97
202,91
203,97
204,99
205,107
206,98
207,89
208,92
209,101
210,106
211,99
212,104
213,108
214,103
215,90
216,110
217,107
218,96
219,103
220,103
221,111
222,100
223,98
224,103
225,107
226,103
227,106
228,104
229,98
230,104
231,108
232,92
233,77
234,84
235,93
236,101
237,108
238,98
239,104
240,109
241,106
242,102
243,113
244,107
245,101
246,100
247,103
248,111
249,96
250,81
251,80
252,92
253,101
254,90
255,92
256,106
257,112
258,92
259,93
260,106
261,100
262,89
263,97
264,101
265,95
266,98
267,101
268,93
269,96
270,100
271,107
272,107
273,98
274,96
275,96
276,98
277,97
278,96
279,103
280,100
281,90
282,100
283,84
284,101
285,104
286,82
287,84
288,108
289,114
290,117
291,109
292,100
293,106
294,98
295,99
296,112
297,109
298,105
299,105
300,101
301,99
302,97
303,110
304,106
305,101
306,105
307,103
308,97
309,100
310,94
311,95
312,95
313,92
314,91
315,109
316,112
317,90
318,81
319,90
320,94
321,102
322,115
323,111
324,109
325,104
326,97
327,98
328,92
329,96
330,98
331,104
332,104
333,99
334,99
335,100
336,110
337,94
338,92
339,90
340,86
341,77
342,89
343,79
344,81
345,92
346,86
347,82
348,84
349,83
350,89
351,84
352,87
353,90
354,90
355,79
356,79
357,76
358,74
359,74
360,84
361,82
362,86
363,85
364,78
365,89
366,86
367,75
368,74
369,74
370,72
371,79
372,77
373,78
374,65
375,64
376,62
377,62
378,66
379,60
380,54
381,62
382,59
383,61
384,63
385,54
386,67
387,61
388,68
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,67
399,67
400,59
401,65
402,67
403,69
404,76
405,73
406,69
407,71
408,77
409,1
410,1
411,1
412,1
413,86
414,87
415,86
416,93
417,85
418,92
419,84
420,76
421,96
422,101
423,88
424,86
425,89
426,100
427,95
428,83
429,84
430,85
431,92
432,84
433,79
434,82
435,83
436,94
437,89
438,97
439,88
440,86
441,78
442,78
443,70
444,80
445,83
446,77
447,79
448,92
449,95
450,86
451,75
452,91
453,94
454,86
455,83
456,96
457,97
458,96
459,92
460,85
461,80
462,82
463,89
464,98
465,96
466,82
467,84
468,83
469,70
470,66
471,63
472,76
473,93
474,88
475,87
476,92
477,96
478,96
479,97
480,102
481,86
482,82
483,85
484,85
485,79
486,89
487,87
488,103
489,96
490,97
491,93
492,82
493,83
494,94
495,103
496,85
497,79
498,81
499,83
500,85
501,81
502,71
503,86
504,98
505,93
506,91
507,94
508,105
509,99
510,89
511,86
512,92
513,85
514,92
515,97
516,90
517,91
518,95
519,92
520,93
521,95
522,90
523,94
524,92
525,84
526,86
527,83
528,75
529,72
530,83
531,82
532,86
533,79
534,76
535,81
536,78
537,74
538,73
539,79
540,72
541,81
542,76
543,76
544,74
545,77
546,73
547,1
548,1
549,88
550,97
551,85
552,88
553,96
554,85
555,79
556,80
557,88
558,89
559,93
560,98
561,82
562,89
563,87
564,98
565,89
566,84
567,81
568,86
569,81
570,89
571,78
572,93
573,86
574,87
575,107
576,94
577,83
578,82
579,76
580,89
581,84
582,94
583,102
584,100
585,85
586,87
587,76
588,80
589,82
590,81
591,93
592,92
593,95
594,95
595,93
596,90
597,97
598,91
599,78
600,72
601,86
602,94
603,94
604,93
605,101
606,93
607,96
608,94
609,94
610,101
611,99
612,91
613,81
614,92
615,105
616,104
617,88
618,78
619,80
620,92
621,81
622,85
623,83
624,100
625,92
626,101
627,102
628,101
629,103
630,96
631,103
632,90
633,79
634,90
635,88
636,78
637,87
638,76
639,70
640,84
641,87
642,93
643,78
644,82
645,89
646,84
647,83
648,80
649,76
650,77
651,78
652,100
653,87
654,71
655,80
656,93
657,96
658,100
659,96
660,97
661,95
662,84
663,90
664,105
665,92
666,87
667,77
668,72
669,76
670,92
671,79
672,99
673,89
674,99
675,102
676,107
677,89
678,86
679,89
680,81
681,85
682,87
683,95
684,90
685,93
686,83
687,101
688,104
689,99
690,86
691,90
692,95
693,99
694,90
695,81
696,95
697,101
698,95
699,94
700,95
701,95
702,87
703,84
704,90
705,87
706,92
707,85
708,88
709,91
710,90
